EmpName,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,Department,salary
Elsie Bell,0.58,0.74,4.0,215.0,3.0,0,0,sales,low
Helena Lopez,0.82,0.67,2.0,202.0,3.0,0,0,sales,low
Lloyd Bates,0.45,0.69,5.0,193.0,3.0,0,0,sales,low
Max Lowe,0.78,0.82,5.0,247.0,3.0,0,0,sales,low
Anne Ramos,0.49,0.6,3.0,214.0,2.0,0,0,sales,low
Frank Singleton,0.36,0.95,3.0,206.0,4.0,0,0,sales,low
Cecelia Robinson,0.54,0.37,2.0,176.0,2.0,0,0,sales,low
Cornelia Rodriguez,0.99,0.91,5.0,136.0,4.0,0,0,sales,low
Lou Curtis,0.5,0.75,6.0,127.0,3.0,0,0,sales,low
Brett Pena,0.74,0.64,4.0,268.0,3.0,0,0,sales,low
Nellie Jefferson,0.56,0.58,4.0,258.0,3.0,0,0,sales,medium
Henry Hines,0.34,0.39,2.0,136.0,3.0,0,0,sales,medium
Lizzie Padilla,0.48,0.94,5.0,255.0,6.0,0,0,accounting,medium
Charlotte Bell,0.73,0.62,3.0,218.0,3.0,0,0,accounting,medium
Elizabeth May,0.59,0.87,3.0,268.0,4.0,0,0,accounting,medium
Calvin Shelton,0.81,0.57,3.0,224.0,2.0,0,0,hr,medium
Isabel Robbins,0.9,0.66,3.0,231.0,3.0,0,0,hr,medium
Katherine Gregory,0.41,0.84,6.0,191.0,6.0,0,0,hr,medium
Louisa Pratt,0.89,0.92,4.0,165.0,5.0,0,0,hr,medium
Lewis Spencer,0.48,0.84,4.0,252.0,3.0,0,0,technical,medium
Dylan Ford,0.79,0.97,5.0,266.0,2.0,0,0,technical,medium
Lula Garner,0.98,0.66,5.0,248.0,3.0,0,0,technical,medium
May Adkins,0.75,0.7,4.0,144.0,4.0,0,0,technical,high
David Harvey,1.0,0.41,4.0,174.0,3.0,0,0,technical,low
Lily Payne,0.24,0.82,5.0,179.0,6.0,0,0,technical,medium
Gordon Alexander,0.84,0.43,6.0,246.0,4.0,0,0,technical,medium
Ella Pierce,0.56,0.86,4.0,201.0,3.0,1,0,technical,medium
Phillip Barrett,0.92,0.93,4.0,208.0,3.0,0,0,technical,medium
