EmpName,left,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,Department,salary
Scott Herrera,1,0.38,0.53,2.0,157.0,3.0,0,0,sales,low
Michael Sanchez,1,0.8,0.86,5.0,262.0,6.0,0,0,sales,medium
William Lowe,1,0.11,0.88,7.0,272.0,4.0,0,0,sales,medium
Laura Casey,1,0.72,0.87,5.0,223.0,5.0,0,0,sales,low
Nathan Grant,1,0.37,0.52,2.0,159.0,3.0,0,0,sales,low
Nelle Leonard,1,0.41,0.5,2.0,153.0,3.0,0,0,sales,low
Blake Bryant,1,0.1,0.77,6.0,247.0,4.0,0,0,sales,low
Lida Watson,1,0.92,0.85,5.0,259.0,5.0,0,0,sales,low
Bernard Houston,1,0.89,1.0,5.0,224.0,5.0,0,0,sales,low
Cordelia Glover,1,0.42,0.53,2.0,142.0,3.0,0,0,sales,low
Hunter Willis,1,0.45,0.54,2.0,135.0,3.0,0,0,sales,low
Flora Peters,1,0.11,0.81,6.0,305.0,4.0,0,0,sales,low
Zachary Jordan,1,0.84,0.92,4.0,234.0,5.0,0,0,sales,low
Eddie Adams,1,0.41,0.55,2.0,148.0,3.0,0,0,sales,low
Duane Richardson,1,0.36,0.56,2.0,137.0,3.0,0,0,sales,low
Sean Klein,1,0.38,0.54,2.0,143.0,3.0,0,0,sales,low
Clyde Benson,1,0.45,0.47,2.0,160.0,3.0,0,0,sales,low
Wayne Rodriguez,1,0.78,0.99,4.0,255.0,6.0,0,0,sales,low
Hilda Johnston,1,0.45,0.51,2.0,160.0,3.0,1,1,sales,low
Isabella Blair,1,0.76,0.89,5.0,262.0,5.0,0,0,sales,low
Julian Patrick,1,0.11,0.83,6.0,282.0,4.0,0,0,sales,low
Lenora Schultz,1,0.38,0.55,2.0,147.0,3.0,0,0,sales,low
Kathryn Burgess,1,0.09,0.95,6.0,304.0,4.0,0,0,sales,low
Susan Sharp,1,0.46,0.57,2.0,139.0,3.0,0,0,sales,low
Luis Williamson,1,0.4,0.53,2.0,158.0,3.0,0,0,sales,low
Louisa Scott,1,0.89,0.92,5.0,242.0,5.0,0,0,sales,low
Milton Floyd,1,0.82,0.87,4.0,239.0,5.0,0,0,sales,low
Emilie Wise,1,0.4,0.49,2.0,135.0,3.0,0,0,sales,low
Carolyn Riley,1,0.41,0.46,2.0,128.0,3.0,0,0,accounting,low
Harriett Hernandez,1,0.38,0.5,2.0,132.0,3.0,0,0,accounting,low
Adam Simpson,1,0.09,0.62,6.0,294.0,4.0,0,0,accounting,low
Lena Tucker,1,0.45,0.57,2.0,134.0,3.0,0,0,hr,low
Joe Mack,1,0.4,0.51,2.0,145.0,3.0,0,0,hr,low
Cecelia Ortiz,1,0.45,0.55,2.0,140.0,3.0,0,0,hr,low
Eugenia McCarthy,1,0.84,0.87,4.0,246.0,6.0,0,0,hr,low
Luella Hubbard,1,0.1,0.94,6.0,255.0,4.0,0,0,technical,low
Christian Terry,1,0.38,0.46,2.0,137.0,3.0,0,0,technical,low
Cecelia Wheeler,1,0.45,0.5,2.0,126.0,3.0,0,0,technical,low
Benjamin Gregory,1,0.11,0.89,6.0,306.0,4.0,0,0,technical,low
Julia Holmes,1,0.41,0.54,2.0,152.0,3.0,0,0,technical,low
Philip Tyler,1,0.87,0.88,5.0,269.0,5.0,0,0,technical,low
Linnie Byrd,1,0.45,0.48,2.0,158.0,3.0,0,0,technical,low
Alvin Erickson,1,0.4,0.46,2.0,127.0,3.0,0,0,technical,low
Bruce Carroll,1,0.1,0.8,7.0,281.0,4.0,0,0,technical,low
Bradley Hernandez,1,0.09,0.89,6.0,276.0,4.0,0,0,technical,low
Benjamin Carter,1,0.84,0.74,3.0,182.0,4.0,0,0,technical,low
Elva Burgess,1,0.4,0.55,2.0,147.0,3.0,0,0,support,low
Adrian Jones,1,0.57,0.7,3.0,273.0,6.0,0,0,support,low
Lewis Gordon,1,0.4,0.54,2.0,148.0,3.0,0,0,support,low
Luke McKinney,1,0.43,0.47,2.0,147.0,3.0,0,0,support,low
Nathan Jones,1,0.13,0.78,6.0,152.0,2.0,0,0,support,low
Willie Martinez,1,0.44,0.55,2.0,135.0,3.0,0,0,support,low
Kate Stone,1,0.38,0.55,2.0,134.0,3.0,0,0,support,low
Leah Olson,1,0.39,0.54,2.0,132.0,3.0,0,0,support,low
Gavin Goodwin,1,0.1,0.92,7.0,307.0,4.0,0,0,support,low
Allen Hansen,1,0.37,0.46,2.0,140.0,3.0,0,0,support,low
Stella Mendoza,1,0.11,0.94,7.0,255.0,4.0,0,0,support,low
Leon Dean,1,0.1,0.81,6.0,309.0,4.0,0,0,technical,low
Georgie Wong,1,0.38,0.54,2.0,128.0,3.0,0,0,technical,low
Margaret Dixon,1,0.85,1.0,4.0,225.0,5.0,0,0,technical,low
Harriett Hughes,1,0.85,0.91,5.0,226.0,5.0,0,0,management,medium
Lela Little,1,0.11,0.93,7.0,308.0,4.0,0,0,IT,medium
Dustin Peters,1,0.1,0.95,6.0,244.0,5.0,0,0,IT,medium
Kate Barton,1,0.36,0.56,2.0,132.0,3.0,0,0,IT,medium
Olivia Davidson,1,0.11,0.94,6.0,286.0,4.0,0,0,IT,medium
Betty Hardy,1,0.81,0.7,6.0,161.0,4.0,0,0,IT,medium
Gertrude Carpenter,1,0.43,0.54,2.0,153.0,3.0,0,0,product_mng,medium
Charlie Mack,1,0.9,0.98,4.0,264.0,6.0,0,0,product_mng,medium
Winifred Hanson,1,0.76,0.86,5.0,223.0,5.0,1,0,product_mng,medium
Winnie Stokes,1,0.43,0.5,2.0,135.0,3.0,0,0,product_mng,medium
Sam Wolfe,1,0.74,0.99,2.0,277.0,3.0,0,0,IT,medium
Rosetta Green,1,0.09,0.77,5.0,275.0,4.0,0,0,product_mng,medium
Mable Woods,1,0.45,0.49,2.0,149.0,3.0,0,0,product_mng,high
Tyler Simon,1,0.09,0.87,7.0,295.0,4.0,0,0,product_mng,low
Roger Campbell,1,0.11,0.97,6.0,277.0,4.0,0,0,product_mng,medium
Randy Newman,1,0.11,0.79,7.0,306.0,4.0,0,0,product_mng,medium
Linnie Salazar,1,0.1,0.83,6.0,295.0,4.0,0,0,product_mng,medium
Mason Hall,1,0.4,0.54,2.0,137.0,3.0,0,0,marketing,medium
Betty Hudson,1,0.43,0.56,2.0,157.0,3.0,0,0,sales,low
Austin Adkins,1,0.39,0.56,2.0,142.0,3.0,0,0,accounting,low
William Watson,1,0.45,0.54,2.0,140.0,3.0,0,0,support,low
Gregory Berry,1,0.38,0.49,2.0,151.0,3.0,0,0,technical,low
Bobby Ramirez,1,0.79,0.59,4.0,139.0,3.0,0,1,management,low
Daisy Marsh,1,0.84,0.85,4.0,249.0,6.0,0,0,marketing,low
Edna Nichols,1,0.11,0.77,6.0,291.0,4.0,0,0,marketing,low
Luis Bridges,1,0.11,0.87,6.0,305.0,4.0,0,0,marketing,low
Elva Obrien,1,0.17,0.84,5.0,232.0,3.0,0,0,sales,low
Mina Greer,1,0.44,0.45,2.0,132.0,3.0,0,0,sales,low
Mina Love,1,0.37,0.57,2.0,130.0,3.0,0,0,sales,low
Richard Sharp,1,0.1,0.79,6.0,291.0,4.0,0,0,sales,low
Charles Houston,1,0.4,0.5,2.0,130.0,3.0,0,0,sales,low
Minerva Patton,1,0.89,1.0,5.0,246.0,5.0,0,0,sales,low
Landon Curtis,1,0.42,0.48,2.0,143.0,3.0,0,0,sales,low
Peter Barber,1,0.46,0.55,2.0,129.0,3.0,0,0,sales,low
Ernest Bates,1,0.09,0.83,6.0,255.0,4.0,0,0,sales,low
Lulu Cummings,1,0.37,0.51,2.0,155.0,3.0,0,0,sales,low
Miguel Carlson,1,0.1,0.77,6.0,265.0,4.0,0,0,sales,low
Terry Estrada,1,0.1,0.84,6.0,279.0,4.0,0,0,sales,low
William Burns,1,0.11,0.97,6.0,284.0,4.0,0,0,sales,low
Hettie Padilla,1,0.9,1.0,5.0,221.0,6.0,0,0,sales,medium
Warren Stewart,1,0.38,0.52,2.0,154.0,3.0,0,0,sales,medium
Rosalie Hicks,1,0.36,0.52,2.0,147.0,3.0,0,0,sales,medium
Anne Hodges,1,0.42,0.46,2.0,150.0,3.0,0,0,sales,medium
